spectrum	stimulus_number	L	a	b	R	G	B
blues	1	83.97120633	-9.852537943	-24.57037566	157	217	255
blues	2	81.03053023	-7.95042241	-27.50408893	149	208	252
blues	3	78.07881418	-5.959330998	-30.46549897	141	199	249
blues	4	75.20654895	-3.353651035	-33.84918454	134	190	247
blues	5	72.23656221	-1.156783909	-36.8638709	126	181	244
blues	6	69.25862725	1.156506706	-39.90237814	118	172	241
blues	7	66.41464651	4.423796276	-43.83378823	111	163	240
blues	8	63.38273391	6.69517754	-46.43566397	103	154	236
blues	9	60.49420959	9.940314185	-49.92073226	96	145	234
blues	10	57.511348	12.8256439	-53.01904749	88	136	231
blues	11	54.58191464	16.0473775	-56.04094803	81	127	228
blues	12	51.61865203	19.266493	-59.13089327	73	118	225
blues	13	48.71953321	22.80607754	-62.1263762	66	109	222
blues	14	45.61837299	27.37385958	-66.03083716	58	99	220
blues	15	42.76053402	31.12420711	-68.98604948	50	90	217
blues	16	39.71941916	35.65881464	-72.25082749	42	80	214
blues	17	36.84650238	40.58208912	-75.82843171	33	70	212
blues	18	33.93754042	44.81256927	-78.32108727	24	60	208
blues	19	30.92948654	50.41464786	-81.56375441	15	48	205
blues	20	27.97974401	55.58079256	-84.13494135	5	35	201
browns	1	82.9862	2.975	29.2189	232	203	152
browns	2	79.7598	3.095	29.4705	223	194	143
browns	3	76.5074	3.2259	29.7341	214	185	134
browns	4	73.228	3.3693	30.0105	205	176	125
browns	5	70.0313	4.0468	29.9302	197	167	117
browns	6	66.6949	4.2239	30.2333	188	158	108
browns	7	63.4418	4.9463	30.1791	180	149	100
browns	8	60.0584	5.2717	29.9894	171	140	92
browns	9	56.7587	6.1501	29.4341	163	131	85
browns	10	53.6617	6.2909	30.2864	155	123	76
browns	11	50.1733	6.6904	30.1345	146	114	68
browns	12	47.0251	6.991	30.4853	138	106	60
browns	13	43.8433	7.3283	30.8458	130	98	52
browns	14	40.6385	7.7873	30.6792	122	90	45
browns	15	37.1203	8.8902	30.2028	114	81	38
browns	16	33.9632	9.9243	30.2192	107	73	31
browns	17	30.6302	10.4807	30.552	99	65	23
browns	18	27.6806	11.0361	30.7586	92	58	16
browns	19	24.2778	11.7985	30.2556	84	50	9
browns	20	20.9582	12.9897	30.1352	77	42	0
reds	1	70.0153	54.8157	-10.6324	255	129	192
reds	2	68.2942	56.5226	-7.6055	254	122	182
reds	3	66.4746	57.9164	-4.6844	252	115	172
reds	4	65.0106	59.169	-1.1664	251	109	162
reds	5	63.4249	60.8649	2.2306	250	102	152
reds	6	61.7142	62.1288	6.0683	248	95	141
reds	7	60.2467	63.7656	9.7637	247	88	131
reds	8	58.6803	65.0486	13.3598	245	81	121
reds	9	57.4812	66.2052	17.5518	244	75	111
reds	10	56.2222	67.6595	21.7145	243	68	101
reds	11	54.8652	68.7309	25.7659	241	61	91
reds	12	53.7753	69.9747	30.2365	240	54	81
reds	13	52.8679	70.8353	34.9394	239	48	71
reds	14	51.7617	71.5691	39.3272	237	41	61
reds	15	50.9458	72.4189	44.0034	236	34	51
reds	16	50.02	72.8247	48.8269	234	27	40
reds	17	49.4033	73.3498	53.0875	233	20	30
reds	18	48.9164	73.6093	56.8209	232	14	20
reds	19	48.2633	73.6003	59.4414	230	7	10
reds	20	47.8335	73.8378	61.955	229	0	0
yellows	1	97.2674	-20.5193	85.505	255	255	59
yellows	2	95.7138	-17.6818	84.3999	255	249	58
yellows	3	93.9058	-14.3601	83.3521	255	242	56
yellows	4	92.3628	-11.4887	82.5456	255	236	54
yellows	5	90.8278	-8.587	81.7524	255	230	52
yellows	6	89.0496	-5.1551	80.7554	255	223	50
yellows	7	87.535	-2.1924	79.9947	255	217	48
yellows	8	85.7832	1.3059	79.0392	255	210	46
yellows	9	84.2937	4.3217	78.3157	255	204	44
yellows	10	82.5742	7.8749	77.4078	255	197	42
yellows	11	80.8747	11.4515	76.5284	255	190	40
yellows	12	79.4347	14.5251	75.873	255	184	38
yellows	13	77.7785	18.1307	75.0517	255	177	36
yellows	14	76.1457	21.7218	74.5159	255	170	33
yellows	15	74.4256	24.9177	73.6179	254	163	31
yellows	16	72.8505	28.5046	73.138	254	156	28
yellows	17	71.0985	32.6057	72.2959	254	148	26
yellows	18	69.6035	36.1413	71.8879	254	141	23
yellows	19	67.9514	40.1495	71.1519	254	133	21
yellows	20	66.3576	44.068	70.6859	254	125	18